CatalogId,NoradId,Name
20103,20103,NADEZHDA 1
20104,20104,SL-8 R/B
20131,20131,OPS 4682 DEB
20149,20149,COSMOS 2034
20150,20150,SL-8 R/B
20234,20234,COSMOS 2040
20235,20235,COSMOS 2041
20236,20236,COSMOS 2042
20237,20237,COSMOS 2043
20305,20305,METEOR 3-3
20306,20306,SL-14 R/B
20348,20348,SL-3 DEB
20465,20465,COSMOS 2058
20466,20466,SL-14 R/B
20505,20505,COSMOS 1275 DEB
20508,20508,NADEZHDA 2
20509,20509,SL-8 R/B
20510,20510,OKEAN 2
20511,20511,SL-14 R/B
20527,20527,COSMOS 2061
20528,20528,SL-8 R/B
20563,20563,ATLAS 28E R/B
20564,20564,ATLAS 28E DEB
20565,20565,ATLAS 28E DEB
20575,20575,ATLAS 28E DEB
20577,20577,COSMOS 2074
20578,20578,SL-8 R/B
20608,20608,MACSAT 2 (M 2)
20609,20609,SCOUT G-1 R/B
20670,20670,METEOR 2-19
20671,20671,SL-14 R/B
20736,20736,COSMOS 2091
20737,20737,COSMOS 2092
20738,20738,COSMOS 2093
20739,20739,COSMOS 2094
20804,20804,COSMOS 2100
20805,20805,SL-8 R/B
20826,20826,METEOR 2-20
20827,20827,SL-14 R/B
21028,21028,COSMOS 2114
21029,21029,COSMOS 2115
21030,21030,COSMOS 2116
21031,21031,COSMOS 2117
21034,21034,SL-14 R/B
21087,21087,INFORMATOR 1
21088,21088,SL-8 R/B
21089,21089,COSMOS 2123
21090,21090,SL-8 R/B
21091,21091,SL-8 DEB
21130,21130,COSMOS 2135
21131,21131,SL-8 R/B
21152,21152,NADEZHDA 3
21153,21153,SL-8 R/B
21230,21230,COSMOS 2142
21231,21231,SL-8 R/B
21232,21232,METEOR 3-4
21233,21233,SL-14 R/B
21257,21257,SL-8 DEB
21299,21299,COSMOS 2143
21300,21300,COSMOS 2144
21301,21301,COSMOS 2145
21302,21302,COSMOS 2146
21398,21398,SL-14 R/B
21422,21422,COSMOS 2151
21423,21423,SL-14 R/B
21532,21532,SCOUT G-1 DEB
21655,21655,METEOR 3-5
21656,21656,SL-14 R/B
21666,21666,COSMOS 2154
21667,21667,SL-8 R/B
21691,21691,SCOUT G-1 DEB
21728,21728,COSMOS 2157
21729,21729,COSMOS 2158
21730,21730,COSMOS 2159
21731,21731,COSMOS 2160
